configuration,action,pair,peak time seconds,triangle pairs,crossing frames,span x,span y,span z
normal,Idle,left.hand / body,0,989,553,0.18777236342430115,0.2868112325668335,0.14431513845920563
normal,Idle,left.hand / right.hand,0,667,553,0.09566947817802429,0.24896055459976196,0.1370006501674652
normal,Idle,right.hand / body,0.14166666666666666,673,553,0.2143663913011551,0.284345805644989,0.15161044895648956
normal,Look Left,left.hand / body,0.19166666666666668,1029,161,0.21107253432273865,0.28678134083747864,0.14425304532051086
normal,Look Left,left.hand / right.hand,0,667,161,0.09566947817802429,0.24896055459976196,0.1370006501674652
normal,Look Left,right.hand / body,0.14166666666666666,673,161,0.2143663913011551,0.284345805644989,0.15161044895648956
normal,Look Right,left.hand / body,0,989,161,0.18777236342430115,0.2868112325668335,0.14431513845920563
normal,Look Right,left.hand / right.hand,0,667,161,0.09566947817802429,0.24896055459976196,0.1370006501674652
normal,Look Right,right.hand / body,0.14166666666666666,673,161,0.2143663913011551,0.284345805644989,0.15161044895648956
normal,Chest Beat,left.hand / body,1.4416666666666667,1005,50,0.1991332471370697,0.29237890243530273,0.13288873434066772
normal,Chest Beat,left.hand / right.hand,1.2833333333333334,1430,46,0.09367404878139496,0.23326469957828522,0.1986958235502243
normal,Chest Beat,right.hand / body,0.13333333333333333,902,48,0.21472395956516266,0.2664840519428253,0.14709791541099548
normal,Clap,left.forearm / right.hand,0.06666666666666667,33,76,0.024194151163101196,0.023772813379764557,0.02093920111656189
normal,Clap,left.hand / body,0,989,183,0.1877722442150116,0.28681129217147827,0.14431506395339966
normal,Clap,left.hand / right.forearm,1.35,152,136,0.07985955476760864,0.07343275099992752,0.12122562527656555
normal,Clap,left.hand / right.hand,1.5166666666666666,805,156,0.14375990629196167,0.2647862136363983,0.14272953569889069
normal,Clap,right.forearm / body,0.26666666666666666,101,78,0.1272992044687271,0.10179752111434937,0.08833755552768707
normal,Clap,right.hand / body,0.025,769,185,0.22006461024284363,0.276426762342453,0.1489110291004181
normal,Shrug,left.hand / body,1.7583333333333333,1368,102,0.27555444836616516,0.20592911541461945,0.2402801215648651
normal,Shrug,left.hand / right.hand,0.325,1452,98,0.2554788589477539,0.28257766366004944,0.14111848175525665
normal,Shrug,right.hand / body,1.7583333333333333,1370,102,0.275712251663208,0.20718905329704285,0.24066056311130524
normal,Wave,left.hand / body,0,989,481,0.18777236342430115,0.2868112325668335,0.14431513845920563
normal,Wave,left.hand / right.hand,0.03333333333333333,695,146,0.09674125909805298,0.26396647095680237,0.1494239717721939
normal,Wave,right.hand / body,2.95,1358,166,0.28858500719070435,0.3002195656299591,0.16300609707832336
normal,Wave,right.upper-arm / body,0.48333333333333334,94,297,0.07011173665523529,0.07157543301582336,0.10062502324581146
normal,Dance,left.hand / body,0,989,23,0.1877722442150116,0.28681129217147827,0.14431506395339966
normal,Dance,left.hand / right.hand,0.075,940,36,0.1459730863571167,0.2689945101737976,0.12628348171710968
normal,Dance,right.hand / body,0,670,29,0.21447661519050598,0.28430289030075073,0.15169058740139008
normal,Dance,right.upper-arm / body,5.3,48,102,0.05912071466445923,0.08928725123405457,0.06002102792263031
normal,Think,left.hand / body,0,989,481,0.18777236342430115,0.2868112325668335,0.14431513845920563
normal,Think,left.hand / right.hand,0,667,36,0.0956697016954422,0.24896058440208435,0.13700097799301147
normal,Think,right.hand / body,4,672,58,0.21408692002296448,0.28445369005203247,0.15140816569328308
normal,Surprised,left.hand / body,3.966666666666667,1194,44,0.18670636415481567,0.29341283440589905,0.15262462198734283
normal,Surprised,left.hand / right.hand,0,667,22,0.09566947817802429,0.24896055459976196,0.1370006501674652
normal,Surprised,left.upper-arm / body,0.3333333333333333,65,429,0.044597089290618896,0.04324924945831299,0.09154756367206573
normal,Surprised,right.hand / body,0.05,702,46,0.18023629486560822,0.2647407650947571,0.15269413590431213
normal,Surprised,right.upper-arm / body,0.3416666666666667,65,429,0.044877246022224426,0.04407304525375366,0.09182948619127274
normal,Speak,left.hand / body,0.14166666666666666,994,241,0.18880495429039001,0.28682762384414673,0.14426863193511963
normal,Speak,left.hand / right.hand,0,667,241,0.09566947817802429,0.24896055459976196,0.1370006501674652
normal,Speak,right.hand / body,0.14166666666666666,673,241,0.2143663913011551,0.284345805644989,0.15161044895648956
normal,Mail Full,left.forearm / mail.door,0.6416666666666667,52,7,0.07616537809371948,0.029853368178009987,0.12347842007875443
normal,Mail Full,left.forearm / mail.letter.back,1.7583333333333333,245,87,0.211004376411438,0.11687682569026947,0.07197707891464233
normal,Mail Full,left.forearm / mail.letter.flap,1.75,245,87,0.20438382029533386,0.11178267002105713,0.06140720844268799
normal,Mail Full,left.hand / body,6.133333333333334,1232,125,0.19695869088172913,0.28935506939888,0.1580635905265808
normal,Mail Full,left.hand / mail.box,1.175,812,77,0.22763359546661377,0.2930934727191925,0.21944577991962433
normal,Mail Full,left.hand / mail.door,0.5083333333333333,450,93,0.054341256618499756,0.2850942015647888,0.12455721199512482
