configuration,action,pair,before crossing frames,after crossing frames,before peak triangle pairs,after peak triangle pairs,after peak time
normal,Idle,left.hand / body,553,0,989,0,
normal,Idle,left.hand / right.hand,553,0,667,0,
normal,Idle,right.hand / body,553,0,673,0,
normal,Look Left,left.hand / body,161,0,1029,0,
normal,Look Left,left.hand / right.hand,161,0,667,0,
normal,Look Left,right.hand / body,161,0,673,0,
normal,Look Right,left.hand / body,161,0,989,0,
normal,Look Right,left.hand / right.hand,161,0,667,0,
normal,Look Right,right.hand / body,161,0,673,0,
normal,Chest Beat,left.hand / body,50,17,1005,128,1.325
normal,Chest Beat,left.hand / right.hand,46,23,1430,1276,1.2916666666666667
normal,Chest Beat,right.hand / body,48,14,902,313,0.13333333333333333
normal,Clap,left.forearm / right.hand,76,74,33,21,0.6666666666666666
normal,Clap,left.hand / body,183,169,989,112,0.06666666666666667
normal,Clap,left.hand / right.forearm,136,136,152,142,1.25
normal,Clap,left.hand / right.hand,156,152,805,634,0.08333333333333333
normal,Clap,right.forearm / body,78,78,101,101,0.26666666666666666
normal,Clap,right.hand / body,185,175,769,584,1.4333333333333333
normal,Shrug,left.hand / body,102,18,1368,1064,1.7583333333333333
normal,Shrug,left.hand / right.hand,98,14,1452,1119,0.3333333333333333
normal,Shrug,right.hand / body,102,18,1370,1135,1.7583333333333333
normal,Wave,left.hand / body,481,0,989,0,
normal,Wave,left.hand / right.hand,146,0,695,0,
normal,Wave,right.hand / body,166,0,1358,0,
normal,Wave,right.upper-arm / body,297,297,94,94,0.48333333333333334
normal,Dance,left.hand / body,23,0,989,0,
normal,Dance,left.hand / right.hand,36,0,940,0,
normal,Dance,right.hand / body,29,0,670,0,
normal,Dance,right.upper-arm / body,102,102,48,48,5.3
normal,Think,left.hand / body,481,0,989,0,
normal,Think,left.hand / right.hand,36,0,667,0,
normal,Think,right.hand / body,58,26,672,277,0.225
normal,Surprised,left.hand / body,44,0,1194,0,
normal,Surprised,left.hand / right.hand,22,0,667,0,
normal,Surprised,left.upper-arm / body,429,429,65,64,0.3416666666666667
normal,Surprised,right.hand / body,46,6,702,58,0.09166666666666666
normal,Surprised,right.upper-arm / body,429,429,65,64,0.3333333333333333
